S.No,CPU-0,CPU-1,CPU-2,CPU-3,CPU-4,CPU-5,CPU-6,CPU-7,CPU-8
0,39.4,28.72,0.01,0.0,9.91,0.01,4.51,9.27
1,27.68,34.5,0.01,0.01,2.66,0.01,9.38,12.36
2,32.54,15.58,2.56,0.0,0.61,0.0,13.86,18.98
3,33.28,31.84,0.01,0.01,2.54,0.01,8.47,10.54
4,31.99,28.93,0.01,0.0,0.0,0.0,17.03,13.67
5,41.21,25.38,6.44,0.0,4.57,0.0,4.97,7.56
6,26.05,22.95,0.0,0.0,11.24,0.0,21.72,2.26
7,32.03,32.75,0.05,0.01,7.98,0.01,12.95,7.42
8,31.05,24.2,0.63,0.01,0.02,0.02,13.81,14.37
9,30.36,24.53,0.01,0.01,13.64,0.02,9.75,6.29
10,28.81,26.19,0.01,0.01,0.01,0.01,15.64,12.57
11,23.77,25.21,0.0,0.0,5.79,0.0,17.65,10.69
12,34.95,16.46,0.0,0.0,13.1,0.0,25.12,17.6
13,34.12,14.68,0.04,0.0,1.08,0.0,20.12,9.88
14,46.05,22.7,5.53,0.02,7.75,3.64,32.55,33.13
15,65.53,53.35,4.62,0.02,29.17,7.78,24.46,45.98
16,66.39,50.64,10.7,0.03,49.73,26.26,8.64,55.3
17,55.45,43.57,18.55,0.03,41.62,0.03,34.91,44.54
18,34.1,12.74,21.22,0.0,10.8,0.0,4.29,13.53
19,25.24,0.46,34.07,0.0,8.29,0.0,9.71,8.7
20,26.7,6.05,18.6,0.0,7.91,0.0,12.17,15.21
21,29.03,24.14,0.28,0.0,6.29,0.03,8.56,15.85
22,25.67,20.08,8.61,0.01,5.94,0.01,10.27,16.16
23,28.33,14.09,14.94,0.01,0.01,0.01,12.54,14.34
24,28.34,25.48,0.02,0.01,16.21,0.02,11.95,6.95
25,37.27,17.66,0.0,0.0,19.24,0.0,7.85,2.79
26,37.09,16.53,4.57,0.0,14.5,0.0,0.04,13.1
27,37.7,16.49,0.0,0.0,0.04,0.0,10.85,17.17
28,26.91,21.01,0.07,0.0,7.76,0.0,18.76,14.07
29,25.45,32.67,0.03,0.0,7.34,2.72,6.28,6.55
30,39.07,7.31,0.0,0.0,0.0,13.0,9.69,18.3
31,21.68,4.72,17.4,0.0,0.0,0.0,6.16,23.6
32,33.31,0.0,4.92,0.0,0.0,18.57,12.37,12.7
33,24.3,0.01,14.29,0.01,0.01,0.01,17.33,19.12
34,35.16,0.0,10.1,0.0,0.0,13.57,10.85,8.87
35,20.95,0.0,21.17,0.0,0.0,0.84,16.18,15.24
36,25.94,11.26,7.75,0.01,0.01,0.01,14.76,23.23
37,25.86,11.0,0.01,0.01,0.01,9.92,17.99,12.0
38,29.27,16.99,0.1,0.02,0.02,0.08,15.35,15.19
39,28.84,29.43,0.35,0.0,0.0,0.46,11.55,12.0
40,32.8,14.76,0.02,0.02,0.02,2.97,22.73,14.69
41,19.14,10.9,0.03,0.02,0.02,4.85,29.51,11.98
42,20.26,11.97,0.0,0.0,0.0,3.48,19.57,19.64
43,26.85,10.46,0.0,0.0,0.0,0.0,18.06,20.47
44,24.58,40.66,0.03,0.0,3.08,0.0,11.18,5.55
45,26.01,19.43,0.0,0.0,12.13,0.0,14.92,9.49
46,23.78,17.78,0.0,0.0,14.61,0.0,13.26,7.63
47,27.49,9.56,0.01,0.0,8.79,0.0,18.91,12.93
48,35.19,41.48,0.01,0.0,2.57,0.0,9.65,4.83
49,22.07,0.58,0.0,0.0,29.98,0.0,10.08,10.04
50,37.81,4.06,0.12,0.0,19.01,0.0,2.11,11.94
51,21.72,20.77,0.0,0.0,8.44,0.0,7.16,20.42
52,33.19,20.72,0.0,0.0,0.0,0.0,11.93,17.1
53,32.84,5.85,0.0,0.0,4.76,0.0,22.75,11.19
54,26.74,16.04,0.01,0.01,19.74,0.01,10.31,14.44
55,27.66,12.81,0.0,0.0,4.11,0.0,24.81,8.76
56,31.64,14.86,0.03,0.0,15.5,0.0,1.76,13.21
57,29.94,8.87,0.0,0.0,4.19,0.0,23.31,15.74
58,24.62,10.47,2.75,0.0,19.5,0.0,10.52,8.84
59,33.05,0.84,9.78,0.0,7.78,0.0,18.82,8.27
60,23.7,27.6,0.01,0.0,3.68,0.0,12.72,11.68
61,28.93,1.26,0.0,0.0,7.34,0.0,14.08,26.26
62,32.14,30.0,0.0,0.0,0.0,0.0,14.76,4.32
63,29.64,26.55,0.0,0.0,6.67,0.0,14.32,4.47
64,31.03,2.39,0.01,0.01,21.32,0.01,15.87,8.71
65,24.71,45.43,0.01,0.0,3.24,0.0,6.48,8.4
66,29.46,14.04,0.0,0.0,0.0,0.0,17.35,15.56
67,26.31,29.41,0.01,0.0,8.25,0.0,15.09,6.71
68,37.18,41.22,1.0,0.0,0.79,0.0,5.1,10.9
69,28.84,16.12,0.01,0.01,1.25,0.01,12.25,22.01
70,25.76,28.54,0.0,0.0,0.0,0.0,13.49,14.51
71,33.94,21.08,0.0,0.0,2.14,0.0,14.29,15.06
72,31.73,24.96,0.01,0.01,7.59,0.01,13.3,6.35
73,36.47,20.93,11.33,0.01,0.02,0.02,11.22,13.19
