S.No,Total Memory,Used Memory
0,12875464704,488948940
1,12875464704,488949350
2,12875464704,488897740
3,12875464704,488895692
4,12875464704,488893235
5,12875464704,488891187
6,12875464704,488889548
7,12875464704,488835481
8,12875464704,488834252
9,12875464704,488832204
10,12875464704,488831385
11,12875464704,488829337
12,12875464704,488828518
13,12875464704,488826470
14,12875464704,488770355
15,12875464704,488768307
16,12875464704,488862924
17,12875464704,488861696
18,12875464704,488860057
19,12875464704,488858828
20,12875464704,488808857
21,12875464704,488804352
22,12875464704,488802713
23,12875464704,488801075
24,12875464704,488799846
25,12875464704,488798208
26,12875464704,488796979
27,12875464704,488795340
28,12875464704,488736768
29,12875464704,488735539
30,12875464704,488733900
31,12875464704,488732672
32,12875464704,488730624
33,12875464704,488729395
34,12875464704,488727756
35,12875464704,488723251
36,12875464704,488721612
37,12875464704,488720384
38,12875464704,488718745
39,12875464704,488717516
40,12875464704,488715878
41,12875464704,488715059
42,12875464704,488710144
43,12875464704,488708915
44,12875464704,488707276
45,12875464704,488706048
46,12875464704,488704409
47,12875464704,488703180
48,12875464704,488701132
49,12875464704,488697036
50,12875464704,488694988
51,12875464704,488694169
52,12875464704,488691712
53,12875464704,488690892
54,12875464704,488688844
55,12875464704,488687616
56,12875464704,488681881
57,12875464704,488680243
58,12875464704,488678604
59,12875464704,488676966
60,12875464704,488675328
61,12875464704,488673689
62,12875464704,488672051
63,12875464704,488666726
64,12875464704,488665497
65,12875464704,488663449
66,12875464704,488662220
67,12875464704,488660172
68,12875464704,488658944
69,12875464704,488656896
70,12875464704,488652390
71,12875464704,488650342
72,12875464704,488649113
73,12875464704,488647065
74,12875464704,488645836
75,12875464704,488643788
76,12875464704,488642560
77,12875464704,488637235
78,12875464704,488636006
79,12875464704,488633958
80,12875464704,488631910
81,12875464704,488630272
82,12875464704,488628633
83,12875464704,488626995
84,12875464704,488622080
85,12875464704,488620441
86,12875464704,488618803
87,12875464704,488617164
88,12875464704,488615116
89,12875464704,488613888
90,12875464704,488611840
91,12875464704,488607334
92,12875464704,488605286
93,12875464704,488604057
94,12875464704,488602419
95,12875464704,488600780
96,12875464704,488598732
97,12875464704,488596684
98,12875464704,488591769
99,12875464704,488590131
100,12875464704,488588492
101,12875464704,488586854
102,12875464704,488585216
103,12875464704,488583577
104,12875464704,488581939
105,12875464704,488577024
106,12875464704,488575385
107,12875464704,488573747
108,12875464704,488571289
109,12875464704,488569651
110,12875464704,488568012
111,12875464704,488566374
112,12875464704,488561049
113,12875464704,488559820
114,12875464704,488557772
115,12875464704,488556544
116,12875464704,488554496
117,12875464704,488553267
118,12875464704,488551219
119,12875464704,488546713
120,12875464704,488544665
121,12875464704,488543436
122,12875464704,488541388
123,12875464704,488540160
124,12875464704,488538112
125,12875464704,488536883
126,12875464704,488531558
127,12875464704,488529920
128,12875464704,488528281
129,12875464704,488526643
130,12875464704,488525004
131,12875464704,488523366
132,12875464704,488521728
133,12875464704,488516812
134,12875464704,488515174
135,12875464704,488513536
136,12875464704,488511488
137,12875464704,488509440
138,12875464704,488508211
139,12875464704,488506163
140,12875464704,488501248
141,12875464704,488500019
142,12875464704,488497971
143,12875464704,488496332
144,12875464704,488494694
145,12875464704,488493056
146,12875464704,488491008
147,12875464704,488486092
148,12875464704,488484044
149,12875464704,488482406
150,12875464704,488480358
151,12875464704,488478720
152,12875464704,488476672
153,12875464704,488474624
154,12875464704,488469708
155,12875464704,488467660
156,12875464704,488466022
157,12875464704,488463974
158,12875464704,488462336
159,12875464704,488460288
160,12875464704,488458649
161,12875464704,488453324
162,12875464704,488451686
163,12875464704,488449638
164,12875464704,488448000
165,12875464704,488445542
166,12875464704,488443494
167,12875464704,488441856
168,12875464704,488436531
169,12875464704,488434892
170,12875464704,488432844
171,12875464704,488431206
172,12875464704,488429158
173,12875464704,488427520
174,12875464704,488425472
175,12875464704,488420556
176,12875464704,488418508
177,12875464704,488416870
178,12875464704,488414822
179,12875464704,488412774
180,12875464704,488411136
181,12875464704,488409088
182,12875464704,488404172
183,12875464704,488402124
184,12875464704,488400486
185,12875464704,488398438
186,12875464704,488396390
187,12875464704,488394342
188,12875464704,488392704
189,12875464704,488387379
190,12875464704,488385740
191,12875464704,488383692
192,12875464704,488382054
193,12875464704,488379596
194,12875464704,488377548
195,12875464704,488375910
196,12875464704,488370176
197,12875464704,488368537
198,12875464704,488366489
199,12875464704,488364851
200,12875464704,488362803
201,12875464704,488361164
202,12875464704,488359116
203,12875464704,488354201
204,12875464704,488352153
205,12875464704,488350515
206,12875464704,488348467
207,12875464704,488346419
208,12875464704,488344780
209,12875464704,488342732
210,12875464704,488337817
211,12875464704,488335769
212,12875464704,488334131
213,12875464704,488332083
214,12875464704,488330444
215,12875464704,488328396
216,12875464704,488326758
217,12875464704,488321433
218,12875464704,488319795
219,12875464704,488317747
220,12875464704,488316108
221,12875464704,488313651
222,12875464704,488311603
223,12875464704,488309964
224,12875464704,488304640
225,12875464704,488303001
226,12875464704,488300953
227,12875464704,488299315
228,12875464704,488297267
229,12875464704,488295628
230,12875464704,488293580
231,12875464704,488288665
232,12875464704,488287027
233,12875464704,488285388
234,12875464704,488283340
235,12875464704,488281292
236,12875464704,488279654
237,12875464704,488277606
238,12875464704,488272691
239,12875464704,488270643
240,12875464704,488269004
241,12875464704,488266956
242,12875464704,488265318
243,12875464704,488263270
244,12875464704,488261632
245,12875464704,488256307
246,12875464704,488254668
247,12875464704,488252620
248,12875464704,488250572
249,12875464704,488248524
250,12875464704,488246476
251,12875464704,488244838
252,12875464704,488239513
253,12875464704,488237875
254,12875464704,488235827
255,12875464704,488234188
256,12875464704,488232140
257,12875464704,488230502
258,12875464704,488228454
259,12875464704,488223539
260,12875464704,488221491
261,12875464704,488219852
262,12875464704,488217804
263,12875464704,488215756
264,12875464704,488214118
265,12875464704,488211660
266,12875464704,488206745
267,12875464704,488204697
268,12875464704,488203059
269,12875464704,488201011
270,12875464704,488199372
271,12875464704,488197324
272,12875464704,488195686
273,12875464704,488190361
274,12875464704,488188723
275,12875464704,488186675
276,12875464704,488184627
277,12875464704,488182579
278,12875464704,488180531
279,12875464704,488178892
280,12875464704,488173158
281,12875464704,488171520
282,12875464704,488169472
283,12875464704,488167833
284,12875464704,488165376
285,12875464704,488163737
286,12875464704,488161689
287,12875464704,488156774
288,12875464704,488154726
289,12875464704,488152678
290,12875464704,488151040
291,12875464704,488148992
292,12875464704,488147353
293,12875464704,488145305
294,12875464704,488140390
295,12875464704,488138342
296,12875464704,488136704
297,12875464704,488134656
298,12875464704,488133017
299,12875464704,488130969
300,12875464704,488129331
301,12875464704,488124006
302,12875464704,488122368
303,12875464704,488119910
304,12875464704,488117862
305,12875464704,488115814
306,12875464704,488113766
307,12875464704,488112128
308,12875464704,488106803
309,12875464704,488105164
310,12875464704,488103116
311,12875464704,488101478
312,12875464704,488099430
313,12875464704,488097792
314,12875464704,488095744
315,12875464704,488090828
316,12875464704,488088780
317,12875464704,488086732
318,12875464704,488085094
319,12875464704,488083046
320,12875464704,488081408
321,12875464704,488079360
322,12875464704,488074444
323,12875464704,488072396
324,12875464704,488070758
325,12875464704,488068710
326,12875464704,488067072
327,12875464704,488066252
328,12875464704,488064614
329,12875464704,488059289
330,12875464704,488056832
331,12875464704,488055193
332,12875464704,488053145
333,12875464704,488051507
334,12875464704,488049459
335,12875464704,488047820
336,12875464704,488042496
337,12875464704,488040857
338,12875464704,488038809
339,12875464704,488036761
340,12875464704,488034713
341,12875464704,488033075
342,12875464704,488031027
343,12875464704,488025702
